#{"t_start": 1767979687.5793977, "env_id": "None"}
r,l,t
30760.703,2113,680.667426
10002.985,1325,681.728364
20249.125,1948,683.300566
20440.432,2075,688.288967
10369.853,3000,693.837959
10184.988,3000,696.188947
9921.508,1173,700.222885
20379.97,2034,701.791266
20277.67,1806,706.547748
30561.928,2240,708.310469
20310.389,2084,713.073353
20345.277,1551,714.27297
20206.797,1709,718.675022
20406.77,1713,720.135789
30891.623,2712,725.421429
30738.719,2919,727.776858
20287.76,1799,732.515226
20428.83,2436,734.392494
30767.557,2816,739.812494
20178.564,1378,740.871845
30645.238,2567,746.231912
30792.553,1792,747.696193
20438.643,1902,752.671366
30785.469,2592,758.012461
30675.795,2628,760.075904
20470.658,2103,764.955879
30586.21,1653,766.347314
20409.367,1974,771.292076
20388.486,1887,772.981728
