#{"t_start": 1767980465.3262973, "env_id": "None"}
r,l,t
30652.502,1784,694.623602
30564.71,2009,696.190095
31284.336,3000,701.606909
20304.273,1457,702.81458
20234.088,2443,707.752863
20284.008,1429,708.879154
9953.312,1352,709.903996
10052.171,1242,713.87172
30624.98,2554,715.827018
30999.576,3000,721.337864
20221.408,1164,722.232632
30774.406,3000,727.525682
10021.041,1124,728.426544
20410.084,2053,733.218167
10052.607,1284,734.208323
20407.156,1750,738.779405
20401.217,1146,739.69706
9889.605,977,740.445337
20425.605,1591,744.7472
20291.11,1133,745.628936
20232.447,2273,747.333529
30772.133,2252,752.221955
20335.545,1587,753.469317
20699.613,3000,758.904347
20315.496,1579,760.174279
20189.617,1492,764.664046
30535.236,1552,765.906847
20566.33,2689,771.292151
20365.4,1572,772.488368
20233.383,1364,776.778431
20398.596,1897,778.31345
30566.121,1643,779.57244
10117.009,1728,784.103227
20106.65,1187,785.050613
