#{"t_start": 1767978122.452152, "env_id": "None"}
r,l,t
9869.125,930,560.64053
9956.296,1150,561.574142
-234.7698,1523,562.763494
-234.30981,1569,567.089111
9869.593,976,567.837503
9873.32,849,568.496503
-4.9995003,3000,573.926236
9858.683,885,574.679302
9982.129,1239,578.78356
-229.85973,1514,579.93517
9971.93,1219,580.934532
10007.235,1243,584.974428
-235.22978,1477,586.122498
9992.803,1307,587.136708
9936.825,1203,591.251203
9910.31,1046,592.078329
9891.442,1166,592.982757
-234.4498,1555,594.191889
-235.03975,1496,598.468848
9869.947,1013,599.244776
-234.96979,1503,600.392367
9868.944,913,604.185667
-234.36981,1563,605.397214
9859.217,940,606.147776
9982.927,1310,610.361589
9885.235,1042,611.20305
-234.4198,1558,612.402755
-235.61977,1438,616.619441
10.0003805,3000,619.018592
9962.559,1282,623.17807
-234.93979,1506,624.368099
-234.1798,1582,625.61095
9858.835,899,629.545803
-234.14981,1585,630.771996
-234.8098,1519,631.987008
9880.287,1044,635.966931
9984.515,1482,637.105199
-235.77979,1422,638.218735
0.00050741434,3000,643.700416
-230.31981,1468,644.826529
-229.76976,1523,649.151764
9937.019,1226,650.101998
9926.827,1202,651.106693
10014.492,1475,655.436661
-4.999468,3000,657.788896
20.000599,3000,663.411015
9868.483,865,664.113253
25.000582,3000,669.794392
-234.91977,1508,670.989806
-233.97981,1602,675.38237
9941.63,1181,676.289532
-235.92982,1407,680.664894
9869.296,948,681.443521
-235.58975,1441,682.574785
9899.81,999,683.412472
9978.647,1393,687.617477
9881.014,1120,688.503918
-234.73978,1526,689.664816
-236.33983,1366,694.139009
-234.83975,1516,695.35586
9880.515,1072,696.227285
-234.5998,1540,700.631413
9963.245,1354,701.710712
-234.7798,1522,702.876741
0.00051122904,3000,708.334266
-234.36981,1563,709.532441
9964.197,1451,713.953719
-234.24977,1575,715.152638
9869.726,991,715.906904
-236.95,1305,720.053076
-234.11981,1588,721.308613
-236.31993,1368,725.63712
-234.91977,1508,726.880203
-222.18979,1281,727.888494
-234.7298,1527,732.35902
9889.43,961,733.123931
-234.84981,1515,734.301715
-235.35979,1464,738.63139
9857.89,804,739.257886
-234.4898,1551,740.433629
9869.8545,1002,741.275276
9868.454,862,745.13756
10.000414,3000,747.423326
20.000666,3000,752.925899
9869.957,1015,753.702349
-235.39977,1460,758.069181
-234.3598,1564,759.261856
-235.68977,1431,760.397844
-235.36978,1463,764.746836
-235.32979,1467,765.901864
9869.317,950,766.63259
-234.82979,1517,771.05954
-234.46982,1553,772.28324
10004.844,1515,773.46716
9869.496,967,777.405413
-235.50975,1449,778.530081
9869.544,972,779.340385
-234.3198,1568,783.873751
-234.42981,1557,785.092526
9869.64,981,785.846597
-234.7598,1524,790.173782
-236.15984,1384,791.300077
-234.8298,1517,792.528925
